"PolicyName","State","CreatedDateTime","ModifiedDateTime","IncludeUsers","IncludeGroups","IncludeApps","GrantControls","SessionControls"
"Require multifactor authentication for admins","enabledForReportingButNotEnforced","3/5/2026 1:01:04 AM",,"","","All","mfa","Configured"
"Require compliant or hybrid Azure AD joined device or multifactor authentication for all users","enabledForReportingButNotEnforced","3/5/2026 1:01:40 AM",,"All","","All","mfa; compliantDevice; domainJoinedDevice","Configured"
"Require MFA for Admin Roles","enabledForReportingButNotEnforced","15/5/2026 1:22:10 AM",,"None","","All","mfa","Configured"
"Block Legacy Authentication","enabledForReportingButNotEnforced","15/5/2026 1:26:05 AM",,"All","","All","block","Configured"
"Require multifactor authentication for all users","enabledForReportingButNotEnforced","21/5/2026 5:46:42 AM",,"All","","All","mfa","Configured"
"Require MDM-enrolled and compliant device to access cloud apps for all users (Preview)","enabledForReportingButNotEnforced","21/5/2026 8:43:05 PM",,"All","","All","compliantDevice","Configured"
"Require multifactor authentication for all users","enabledForReportingButNotEnforced","21/5/2026 8:43:19 PM",,"All","","All","mfa","Configured"
"Require MFA for Standard Users","enabledForReportingButNotEnforced","21/5/2026 8:50:19 PM",,"","6e491a9c-4637-4a6b-a328-20197dcd8416","All","mfa","Configured"
"BYOD-Web-Only-Access-SharePoint-Exchange","enabledForReportingButNotEnforced","30/5/2026 5:06:49 AM",,"All","","00000003-0000-0ff1-ce00-000000000000; 00000002-0000-0ff1-ce00-000000000000","","Configured"
